Data Broker Name:,Registration ID:,Status:,Business Type:,Created Date:,Next Renewal Period Begins:,Termination Date:,Address:,Email Address:,Primary Internet Address:,"3. Does the data broker permit a consumer to opt out of the data broker’s collection of brokered personal information, opt out ofits databases or opt out of certain sales of data? :",a. What was the method for requesting an opt-out?,"b. If the opt-out applied to only certain activities or sales, which ones?",c. Does the data broker permit a consumer to authorize a third party to perform the opt-out on the consumer’s behalf?,"4. Statement specifying the data collection, databases or sales activities from which a consumer may not opt out:",5. Statement regarding whether the data broker implements a purchaser credentialing process:,6. The number of security breaches that the data broker experienced during the prior year:,  a. Total number of consumers affected by the breaches:,7. Does the data broker have actual knowledge that it possesses the brokered personal information of minors:,"If so, provide a statement detailing the data collection practices, databases, sales activities, and opt-out policies that are applicable to the brokered personal information of minors:",8. Any additional information or explanation the data broker chooses to provide concerning its data collection practices:
FIRST ORION CORPORATION,353362,ACTIVE,Data Broker,2/12/2019,1/1/2021,2/1/2021,"500 President Clinton Ave., Ste. 215, Little Rock, AZ, 72201, USA",cdenton@firstorion.com,https://firstorion.com,Yes,"First Orion provides a website where a consumer can exercise their rights to Access, Delete & Opt-Out for our Call Knowledge products at privacy.firstorion.com. The website can also be found on our company website in the footer at the link ‘Do Not Sell My Personal Information’. If the consumer does not have access to a computer or email address, then they can opt-out via postal mail at First Orion Compliance Department, ATTN: Opt-Out, 500 President Clinton Avenue, Ste. 215, Little Rock, AR 72201",Opt-out applies to all First Orion solutions except its Call Protection Suite of solutions that identify phone scams.,First Orion accepts opt-outs from authorized third parties who are verified legal representatives of the consumer.,The opt-out does not prevent the collection of Brokered Personal Information by First Orion and First Orion's use in computing and delivering a scam score to purchasers of the Call Protect solutions.,First Orion licenses Brokered Personal Information only to qualified companies using a credentialing process to assure they are a legitimate business and have the ability to honor the terms of its data license agreement.,0,0,Yes,"First Orion does not knowingly collect personal information from minors. If a minor submits personal information to First Orion and it learns that the personal information is about a minor, it will delete the information as quickly as possible.","Products and services include various features and functionality to tell who is calling and why, identify and block likely scammers, do reverse number lookups, file complaints, report call violations to the proper authorities, and provide enhanced information that can be displayed on your device. Our Call Knowledge Suite helps companies verify who that phone number belongs to, what type of device it is, and whether a number is in service. More info at https://firstorion.com/privacy-policy/."
COMPACT INFORMATION SYSTEMS,353084,ACTIVE,Data Broker,2/6/2019,1/1/2021,2/1/2021,"7120 185th Ave NE, Ste 150, Redmond, WA, 98052, USA",pat@cisdirect.com,www.cisdirect.com,Yes,"A person can contact us via a tollfree phone number, e-mail or regular mail to opt-out.  Once received, we immediately and permanently remove this person from our database.",Our opt-out policy applies to everything we do.,yes.,n/a,"We have been in business for 30 years and thoroughly review each entity and would like to do business with us, rejecting any relationship where the potential customer does not meet industry best practices.",0,0,Yes,We do not maintain any PII of minors.,none at this time.
"INSTANT CHECKMATE, LLC",353473,ACTIVE,Data Broker,2/14/2019,1/1/2021,2/1/2021,"3111 Camino Del Rio N, Suite 400, San Diego, CA, 92108, USA",support@instantcheckmate.com,www.instantcheckmate.com,Yes,"To remove an individual's report from the Instant Checkmate (""ICM"") site, the consumer may email ICM at support@instantcheckmate.com, may useICM's online form located at https://www.instantcheckmate.com/opt-out/, or may call customer support at (800) 222-8985. To removea consumer's email address from ICM's email distribution list, the customer may click the ""unsubscribe"" link located in each emailor email ICM at support@instantcheckmate.com.","Each opt-out applies as described above. ICM does not remove bona fide sex offender registration information from the site.Further, a consumer's name may continue to appear in another individual's report as a ""related person."" In addition, if aconsumer continues to visit the ICM site, ICM may continue to monitor their use of the ICM site through the use of cookies, webbeacons or other common tracking services.",ICM requests that individuals submit their own opt out request. Instant Checkmate does not accept bulk opt out requests fromcommercial third parties. There is no need to pay a third party to remove one's information from ICM because ICM offers thisservice for free.,"As stated, ICM does not remove bona fide sex offender registration information from its site. If a user continues to visit the ICMsite, ICM may continue to monitor that individual's use of the ICM site through the use of cookies, beacons and other commontracking services including for the purpose of marketing to that individual. Finally, even after removing an individual's report from theICM site, that individual's name only may appear in another individual's report as a related person.",ICM purchasers are required to agree and certify that they are not using the data provided for any purpose prohibited by the Fair CreditReporting Act.,0,0,No,,
"I360, LLC",353282,ACTIVE,Data Broker,2/11/2019,1/1/2021,2/1/2021,"PO BOX 663, ARLINGTON, VA, 22216, USA",privacy@i-360.com,www.i-360.com,Yes,Consumers receiving email marketing communications from i360 can opt-out from being on the list receiving those communications through the unsubscribe feature in their email or by contacting privacy@i-360.com.,Consumers receiving email marketing communications from i360.,n/a,"The data collection, databases, or sales activities not referenced in section 3.a.","i360 performs due diligence before allowing third parties to access its products and services.  i360 contractually requires third parties accessing its products and services to comply with the law, including applicable data protection laws, and industry standards and guidelines.",0,0,No,,For more information visit www.i-360.com/privacy-policy.
"WHOODLE, LLC",352744,EXPIRED,Data Broker,1/30/2019,1/1/2020,2/1/2020,"2650 N. Military Trail, Suite 300, Boca Raton, FL, 33431, USA",support@whoodle.com,www.whoodle.com,Yes,See attached,See attached,See attached,See attached,See attached,0,0,Yes,See attached,See attached
"TOWERDATA, INC.",352966,EXPIRED,Data Broker,2/4/2019,1/1/2020,2/1/2020,"33 Irving Place, 3rd Floor, New York, NY, 10003, USA",tburke@towerdata.com,www.towerdata.com,No,,,,"Consumers may opt out of all of our database and services by visiting https://instantdata.towerdata.com/optout/, emailing privacy@towerdata.com or sending a letter to our office.  The opt out may be submitted an agent of the consumer.","The majority of our sales do not contain BPI.  We verify email addresses or overlay demographic attributes.  A minority of our sales does include BPI and there we run an Experian credit check on the business, verifying it's a corporation in good standing.  Our contracts requires the corporation to warrant they are using the data for marketing purposes.",0,0,Yes,"If we have age information and the age is below 18, we discard the information about that person.  We do not provide date of birth as part of our services.  We only provide age ranges, and our lowest age range is ""18-20"".",None.
"NEW ENGLAND LIST SERVICES, INC.",353087,EXPIRED,Data Broker,2/6/2019,1/1/2020,2/1/2020,"171 Mountain View Rd, Danville, VT, 05828, USA",dave@nelists.com,www.nelists.com,Yes,Send an e-mail request to dave@nelists.com,nothing indicated,yes,none are known.,Yes.  All potential clients are screened to confirm their identity and internet research is done view the company information.,0,0,Yes,We do not possess brokered personal information on minors.,"New England List Services, Inc. only rents data from known and reputable firms.  Mailing lists are passed against the DMA's Mail Preference Service (MPS) to remove individuals who do not wish to receive mail.Any e-mail deployments are opt in and ""Can Spam"" compliant.  For security, the data we broker is sent from the list owner to an off-site computer service bureau we use for processing.  This vendor has a firewall and strict security protocols in place to prevent miss use of any personal info."
THOMAS REUTERS (CRC) LLC (D/B/A REFINITIV),353196,EXPIRED,Data Broker,2/8/2019,1/1/2020,2/1/2020,"One Station Place, Stamford, CT, 06902, USA",privacy.enquiries@refinitiv.com,www.refinitiv.com,No,,,,See attached scan.,Refinitiv implements a purchaser credentialing process,0,0,Yes,"Refinitiv's products are not directed to minors.  In the limited circumstances where Refinitiv obtains and uses brokered personal information of minors (for example, because they are the children of a politically exposed person).  Refinitiv applies appropriate controls in accordance with industry quidelines and applicable laws.",Optional.
"WILAND, INC.",353283,EXPIRED,Data Broker,2/11/2019,1/1/2020,2/1/2020,"7420 E. Dry Creek Parkway, Niwot, CO, 80503, USA",privacy@wiland.com,wiland.com,Yes,See attachment,See attachment,See attachment,See attachment,See attachment,0,0,Yes,Not applicable.,See attachment.
PROJECT APPLECART LLC,353292,EXPIRED,Data Broker,2/11/2019,1/1/2020,2/1/2020,"234 W 39th Street, 5th Floor, New York, NY, 10018, USA",matt@applecart.co,applecart.co,No,,,,See attachment.,See attachment.,0,0,Yes,Not applicable.,none
"PIPL, INC",353365,EXPIRED,Data Broker,2/12/2019,1/1/2020,2/1/2020,"510 S Clearwater Loop, Suite 101, Post Falls, ID, 83854, USA",mail@pipl.com,www.pipl.com,Yes,See attached.,See attached.,See attached.,See attached.,See attached.,0,0,Yes,See attached.,See attached.
"KNOWWHO, INC.",353368,EXPIRED,Data Broker,2/12/2019,1/1/2020,2/1/2020,"PO Box 62, Mount Vernon, VA, 22121, USA",bbrownson@knowwho.com,https://kw1.knowwho.com/,Yes,See attached.,See attached.,See attached.,See attached.,See attached.,0,0,Yes,See attached.,See attached.
Active Intel Investigations LLC,354190,EXPIRED,Data Broker,3/4/2019,1/1/2020,2/1/2020,"5080 Spectrum Drive Suite 1000 East, Suite 1000 East, Addison, TX, 75001, USA",daveafx@gmail.com,activeintel.com,No,,,,Third party databases accessed.,"Yes, identificationn required.",0,0,Yes,none known,none known
"NATIONAL CONSUMER TELECOM & UTILITIES EXCHANGE, INC.",353366,ACTIVE,Data Broker,2/12/2019,1/1/2021,2/1/2021,"751 Plaza Blvd, Coppell, TX, 75019, USA",admin@nctue.com,www.nctue.com,Yes,"Consumers who wish to opt-out may contact NCTUE via telephone at 1-888-327-4376 or in writing at the followings address:  Exchange Service Center - NCTUE Opt Out, P.O. Box 105398, Atlanta, GA 30348.",NCTUE provides information to companies that provide consumers with pre-approved offers of credit.  Consumers may exclude NCTUE information about them from being used in the lists provided to such companies that make pre-approved offers of credit.,Yes.,"NCTUE, by and through a third-party vendor, maintains a database of consumer information for use by its members (telecommunications companies with residential accounts as well as pay TV and utility companies with consumer accounts) from which consumers may not opt-out.",NCTUE takes reasonable steps to confirm that its members are qualified for membership in accordance with NCTUE's bylaws.  The bylaws require each member to only use NCTUE's database for permitted purposes.,0,0,No,,None.
"700 Credit, LLC",367630,ACTIVE,Data Broker,1/27/2020,1/1/2021,2/1/2021,"31440 Northwestern Hwy., SUITE 250, Farmington Hills, MI, 48334, USA",JBALBOA@OPENDEALEREXCHANGE.COM,www.700credit.com,Yes,"Consumers are provided bureau contact information which they may opt out of prescreen offers.  They are provided a mailing address, phone number and web site to opt out",This applies only to pre-screen offers.,No.,"700 Credit offers a credit report service to vehicle dealers, supplying credit reports to dealers in connection with their offers of credit to consumers. 700 Credit maintains a database of credit reports only for audit purposes and to comply with the FCRA. Consumers cannot opt out, as their credit is pulled in connection with offering them credit. 700 Credit makes no other use of the data it collects. Consumers to have the ability to freeze or lock their credit files with the credit bureaus.",Yes. There is a dealer credentialing process to ensure the dealer is a bona fide business and has a permissible purpose to access the data under the FCRA.,0,0,No,,
LEXISNEXIS RISK SOLUTIONS INC. AND AFFILIATES,353281,ACTIVE,Data Broker,2/11/2019,1/1/2021,2/1/2021,"1000 Alderman Drive, Alpharetta, GA, 30005, USA",legal.compliance@risk.lexisnexis.com,https://risk.lexisnexis.com/,Yes,"E-Mail, Phone, or Mail.","Direct Marketing Solutions, FCRA Prescreen Solutions, Accurint and Accurint for Law Enforcement.  Accurint - Web-based product which enables organizations to obtain current and historical information on people, businesses and assets to help minimize business and security risks.  Accurint for Law Enforcement - web-based portal which enables law enforcement agencies to obtain current and historical information on people, businesses and assets.",No.,"Except as set forth above, Vermont consumers may not generally opt out of the sale of brokered information.  However, Vermont consumers have other important rights under federal and state laws, including the right to dispute the accuracy or completeness of their brokered information that is regulated by the federal Fair Credit Reporting Act and the right to place a ""security freeze"" on the consumer's credit report under certain circumstances under Vermont law.","Yes, LexisNexis Risk Solutions has a robust customer credentialing process.",0,0,Yes,"LexisNexis Risk Solutions does not specifically seek brokered information of minors for collection, but in the process of collecting brokered information generally, does receive such information.  LexisNexis does not have specific data collection practices, databases, sales activities or opt-out policies that are applicable to the brokered personal information of minors.  Many LexisNexis Risk Solutions products filter out records if the record indicates a date of birth suggesting a minor.",n/a
"TRUTHFINDER, LLC",353474,ACTIVE,Data Broker,2/14/2019,1/1/2021,2/1/2021,"600 B Street, 9th Floor, San Diego, CA, 92101, USA",help@truthfinder.com,www.truthfinder.com,Yes,"To remove an individual's report from the TruthFinder (""TF"") site, the consumer may email TF at help@truthfinder.com, may use TF's online form located at https://www.truthfinder.com/opt-out/, or may call customer support at (800) 699-8081. To remove a consumer's email address from TF's email distribution list, the customer may click the ""unsubscribe"" link located in each email or email TF at help@truthfinder.com.","Each opt-out applies as described above. TF does not remove bona fide sex offender registration information from the site. Further, a consumer's name may continue to appear in another individual's report as a ""related person."" In addition, if a consumer continues to visit the TF site, TF may continue to monitor their use of the TF site through the use of cookies, web beacons or other common tracking services.",TF requests that individuals submit their own opt out request. TruthFinder does not accept bulk opt out requests from commercial third parties. There is no need to pay a third party to remove one's information from TF because TF offers this service for free.,"As stated above, TF does not remove bona fide sex offender registration information from its site.If a user continues to visit the TF site, TF may continue to monitor that individual's use of the TF site through the use of cookies,""' e beacons and other common tracking services including for the purpose of marketing to that individual.Finally, even after removing an individual's report from the TF site, that individual's name only may appear in another individual's report as a related person",TF purchasers are required to agree and certify that they are not using the data provided for any purpose prohibited by the Fair Credit Reporting Act.,0,0,No,,See attached.
NATIONAL STUDENT CLEARINGHOUSE,353284,ACTIVE,Data Broker,2/11/2019,1/1/2021,2/1/2021,"2300 Dulles Station Blvd, Suite 220, Herndon, VA, 20171, USA",legal@studentclearinghouse.org,www.studentclearinghouse.org,Yes,"NSC collects student data from participating postsecondary institutions and discloses such data to 3rd parties as contractually authorized by such institutions, in compliance with the Family Educational Rights & Privacy Act. FERPA allows disclosure of directory information (DI) without consent unless the student has opted-out of having their DI disclosed, and NSC respects such opt-outs as FERPA requires. Individuals may opt-out of the disclosure of their DI by notifying their institution.","Pursuant to the requirements of FERPA, the directory information opt-out applies to disclosures where the individual has not consented to the disclosure and where no other exception to FERPA’s consent requirement applies.",No.,"Under FERPA, the directory information opt-out does not apply to disclosures in which the individual has provided consent, or where an exception to FERPA’s consent requirement applies other than the directory information exception.","The Clearinghouse ensures that the data we disclose as an agent of educational institutions goes to the proper parties, and is kept secure, through a thorough contracting process and a robust information security program. Data transfers are governed by a written contract which includes restrictions on the use of the data by the recipient, and all data is encrypted while in transit and at rest using FIPS 140-2 standards as a guideline.",0,0,Yes,"There are rare cases in which the Clearinghouse has actual knowledge that it possesses such information on minors who are or who have been enrolled in postsecondary education. We collect, maintain, and protect this data with the same robust policies we apply to all student data, and respect the same FERPA directory information opt-out rights as we do for non-minors enrolled in postsecondary education.  See our privacy policy at: https://www.studentclearinghouse.org/privacy-policy/.","The Clearinghouse is a 26-year old non-profit, established in part by the education community, with a mission to serve the education and workforce communities and all learners with access to trusted data, related services, and insights. We only use student data as contractually authorized by our participating educational institutions. For more about us, see https://www.studentclearinghouse.org/.  For more about data privacy, see https://studentclearinghouse.org/about/our-privacy-commitment/."
"180 by Two, LLC",367890,ACTIVE,Data Broker,1/31/2020,1/1/2021,2/1/2021,"600 Cleveland St., Suite 213, Clearwater, FL, 33755, USA",karl@180bytwo.com,www.180bytwo.com,Yes,1.  Via our website @ https://180bytwo.com/privacycaliforniaresidents/2.  Via email to privacy@180bytwo.com3.  Via phone @ (909) 340-3259,Opt out applies to all of our information,Yes,"Not applicable, Consumers can opt out all databases","Not applicable for 180 by Two, LLC",0,0,No,,"We collect information:1. Via our website:  Our Website collects information that identifies, relates to, describes, references, is reasonably capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer, household, or device (“personal information”).2. Additionally, we may obtain personal information from the following categories of sources:    a) Directly from you. b) Indirectly from you c) From our partners"
Accuity Inc.,367912,ACTIVE,Data Broker,1/31/2020,1/1/2021,2/1/2021,"1007 Church Street, 6th Floor, Evanston, IL, 60201, USA",michelle.murphy@accuity.com,www.accuity.com,No,,,,"Except as set forth above, Vermont consumers may not generally opt out of the sale of brokered information. However, Vermont consumers have other important rights under federal and state laws, including the right to dispute the accuracy or completeness of their brokered information that is regulated by the federal Fair Credit Reporting Act and the right to place a ""security freeze"" on theconsumer's credit report under certain circumstances under Vermont law.","Yes, Accuity Inc. has a robust customer credentialing process.",0,0,No,,n/a
Advertise4Sales LLC,352647,EXPIRED,Data Broker,1/28/2019,1/1/2020,2/1/2020,"3915 Gay Road East, Tacoma, WA, 98443, USA",tapster13@gmail.com,3915 Gay Road East,Yes,"Phone, website, dnc or direct response to subscribers confirmation emails",Fully applicable,There is no reason we wouldn’t honor anyone’s request for a subscriber to no longer be contacted,We always honor requests to not be contacted,All of our clients are checked for legitimacy,0,0,Yes,Our services are intended only for those over 18 years of age,We already follow pretty stringent data standards
"Altisource Holdings, LLC",352686,EXPIRED,Data Broker,1/29/2019,1/1/2020,2/1/2020,"C/O Altisource Solutions, Inc., 1000 Abernathy Road, Suite 200, Atlanta, GA, 30328, USA",privacy@altisource.com,www.altisource.com,No,,,,"Owners of non-owner occupied property are identified from public county records, and are aggregated across counties to determine each owner's total portfolio of real estate assets. Logic is applied to determine whether the properties identified are likely rentals. The contact information and property level information of investment real estate owners is sold to businesses who wish to offer a service.",A purchaser credentialing process was not implemented during the prior year.,0,0,Yes,We have no knowledge that we possess the personal information of minors.,N/A
"Background Information Services, Inc. (BIS)",352691,EXPIRED,Data Broker,1/29/2019,1/1/2020,2/1/2020,"1800 30th Street, Suite 204, Boulder, CO, 80301, USA",compliance@bisi.com,www.bisi.com,Yes,"BIS conducts all background check searches in real-time, therefore we do not own or maintain a database. However, we do and can provide notices to consumers with guidance to contact our data providers to opt out.","BIS conducts all background check searches in real-time, therefore we do not own or maintain a database. However, we do and can provide notices to consumers with guidance to contact our data providers to opt out.","BIS conducts all background check searches in real-time, therefore we do not own or maintain a database. However, we do and can provide notices to consumers with guidance to contact our data providers to opt out.","BIS conducts all background check searches in real-time, therefore we do not own or maintain a database. However, we do and can provide notices to consumers with guidance to contact our data providers to opt out.","BIS conducts all background check searches in real-time, therefore we do not own or maintain a database. However, we do and can provide notices to consumers with guidance to contact our data providers to opt out.",0,0,Yes,"BIS does not knowingly solicit or collect personally identifiable information from children under 13. However, BIS does gather and collect information regarding the use of www.bisi.com. The information gathered will be personal information voluntarily supplied by the user when registering on www.bisi.com.If BIS learns that any child under the age of 13 has submitted personally identifiable information online, we will take all reasonable actions to delete such information from our data.","BIS conducts all background check searches in real-time, therefore we do not own or maintain a database. However, we do and can provide notices to consumers with guidance to contact our data providers to opt out."
"BeenVerified, Inc. and its subsidiaries/affiliates",352695,EXPIRED,Data Broker,1/29/2019,1/1/2020,2/1/2020,"48 West 38th Street, 8th Floor, New York, NY, 10018, USA",nberman@beenverified.com,www.beenverified.com,Yes,"https://www.beenverified.com/f/optout/search or by calling 1-855-904-6472 or by emailing support@beenverified.com or by writing to us at MSC – 149098, P.O. Box 105168, Atlanta, GA 30348-5168.",All activities.,Yes.,"There are no activities from which a consumer may not opt out.  Any consumer may opt out of all, in their sole discretion.","Yes, we featured a purchaser credentialing process in the prior year, and in years prior to this past year.",0,0,Yes,"We strictly prohibit any information of any kind pertaining to minors and where we learn that such data exists, notwithstanding our strict policies, we would immediately remove such data.","We do not ""collect"" any information whatsoever from consumers, but instead license from large data vendors such information as name, address, telephone number and other publicly available information to make such available to users."
Backgroundchecks.com LLC,352717,EXPIRED,Data Broker,1/29/2019,1/1/2020,2/1/2020,"12770 Coit Road, Suite 300, Dallas, TX, 75251, USA",cklafehn@backgroundchecks.com,www.backgroundchecks.com,No,,,,"BGC provides background screening services (either directly to end-users or indirectly via another background screening company) that involve searching for, obtaining and providing public records information; verification information; and other forms of background information. Whether provided directly or indirectly, the consumer has always authorized the procurement of the background report by the end-user. (Continued in #8)","Yes, BGC credentials all new customers.",0,0,Yes,"On occasion, BGC may be asked to provide background screening services in relation to a minor; for example, when a minor has applied for a job. BGC's practices as they relate to minors are the same as those described in response to question #4.","(Continued from #4) In addition, in some cases authorized by the federal Fair Credit Reporting Act, BGC provides reports without the authorization of the subject of the report. BGC's understanding of the FCRA is that Congress has judged that these are situations where the nature of the underlying transaction puts the subject of the report on notice that a report might be obtained."
