"Company Name","Privacy Policy","Data Broker Email",Location,"Data Broker Allows Opt-Out?"
"Datastream Group, Inc.",http://datastreamgroup.com/privacy-policy/,er@datastreamgroup.com,,Unclear
"Datax Ltd",http://dataxltd.com/privacy-policy/,vtinquiries@equifax.com,Nevada,Unclear
"Death Records",http://deathrecords.org/index.php?xpath=privacy,privacy@cisnationwide.com,Massachusetts,Unclear
"Digital Media Solutions",https://digitalmediasolutions.com/privacy-policy,connect@theDMSgrp.com,Florida,"Yes - by email"
"Digital Segment, Llc",https://segment.com/docs/legal/privacy/,bschorer@digitalsegment.com,Georgia,Unclear
"Divorce Records",http://www.divorcerecords.org/index.php?xpath=privacy,privacy@cisnationwide.com,Massachusetts,Unclear
"Drobu Media Llc",,Dblackman@drobu.com,"New York",No
"Early Warning Services, Llc",https://www.earlywarning.com/privacy-policy.html,privacyoffice@earlywarning.com,Arizona,No
"Easy Background Check",,,Washington,No
Easybackgrounds.Com,https://www.easybackgrounds.com/privacy-policy,WSep@ghrr.com,"New Hampshire",No
"Edvisors Network, Inc.",https://www.edvisors.com/terms-privacy-disclaimer/#privacy-policy,tshaul@collegeloan.com,Nevada,"Yes - by Opt-Out Form"
"Email Tracer",http://www.emailtracer.com/privacy.php,,Massachusetts,No
Enformion,https://www.enformion.com/en/privacy/,angela.arriaga@enformion.com,California,No
"Epsilon Data Management, Llc",https://us.epsilon.com/privacy-policy,Lisa.Gallerano@epsilon.com,Texas,"Yes - by Opt-Out Form"
"Equifax Information Services Llc",https://www.equifax.com/privacy/myequifaxservices/,vtinquiries@equifax.com,Georgia,Unclear
"Experian Data Corp",https://www.experian.com/privacy/prod_serv_policy.html,unsubscribe@experian.com,California,"Yes - by Opt-Out Form"
"Experian Fraud Prevention Solutions, Inc.",https://www.experian.com/privacy/prod_serv_policy.html,nerissa.rush@experian.com,California,"Yes - by Opt-Out Form"
"Experian Health, Inc.",https://www.experian.com/privacy/prod_serv_policy.html,nerissa.rush@experian.com,Tennessee,"Yes - by Opt-Out Form"
"Experian Information Solutions, Inc.",https://www.experian.com/privacy/prod_serv_policy.html,nerissa.rush@experian.com,California,Unclear
"Experian Marketing Solutions, Inc.",https://www.experian.com/privacy/prod_serv_policy.html,nerissa.rush@experian.com,California,Unclear
"Fd Holdings, Llc Dba Factual Data",https://www.factualdata.com/privacy.html?link=Footer-PrivacyPolicy,Sue.Temple@CBC-Companies.com,Colorado,No
"First American Data Tree Llc",https://www.datatree.com/privacy-policy,britchie-boland@firstam.com,California,No
"First Direct, Inc. And Its Subsidiaries/Affiliates",https://www.firstdirectmarketing.com/privacy-policy/,joel@firstdirectmarketing.com,Nebraska,"Yes - by email"
"First Orion Corporation",https://firstorion.com/privacy-policy/,cdenton@firstorion.com,Arizona,Unclear
"Forewarn, Llc",http://forewarn.com/privacy-policy/,support@forewarn.com,Florida,Unclear
"Free Background Check",http://freebackgroundcheck.us/privacy.php,,Massachusetts,No
Freecellsearch.Com,http://freecellsearch.com/privacypolicy.php,support@freecellsearch.com,,No
"Fullcontact, Inc.",https://www.fullcontact.com/privacy-center/#privacy-policy,dan.wobbekind@fullcontact.com,Colorado,"Yes - by Opt-Out Form"
"Fused Leads, Llc",https://www.fusedleads.com/,greg@fusedleads.com,Florida,No
"General Information Solutions Llc",https://www.hireright.com/legal/privacy-policy,kristin.jones@hireright.com,"South Carolina",No
Goodhire,https://www.goodhire.com/privacy,privacy@goodhire.com,California,Unclear
Govarrestrecords.Org,http://www.govarrestrecords.org/privacy.html,,"North Carolina",No
Governmentregistry.Org,http://governmentregistry.org/index.php?xpath=privacy,privacy@cisnationwide.com,Massachusetts,Unclear
Govregistry.Us,http://govregistry.us/privacy.php,privacy@cisnationwide.com,Massachusetts,Unclear
Healthcare.Com,https://www.healthcare.com/info/privacy-policy,info@healthcare.com,Florida,Unclear
"I360, Llc",https://www.i-360.com/privacy-policy/,info@i-360.com,Virginia,Unclear
"Id Analytics, Llc",https://www.idanalytics.com/privacy-policy/,ken_meiser@symantec.com,California,No
"Ihs Markit",https://ihsmarkit.com/Legal/privacy.html,bruce.noll@ihsmarkit.com,Michigan,Unclear
"Incheck Inc",https://incheck.net/privacy-policy-pdf/,abby@incheck.net,Wisconsin,Unclear
"Inflection.Com, Inc",https://www.inflection.com/privacy-policy,elizabeth@goodhire.com,California,"Yes - by email"
"Inflection Risk Solutions, Llc",https://www.inflection.com/privacy-policy,elizabeth@goodhire.com,California,Unclear
"Info Pay",https://www.infopay.com/privacy.php,,Massachusetts,"Yes - by email"
"Infocore Inc.",https://infocore.com/infocore-privacy-policy/,info@infocore.com,California,No
"Infogroup Inc.",https://www.infogroup.com/privacy-policy,privacyteam@infogroup.com,Nebraska,"Yes - by email"
Infotracer,https://members.infotracer.com/customer/terms?tab=privacy,support@infotracer.com,Massachusetts,"Yes - by Opt-Out Form"
"Infutor Data Solutions",https://infutor.com/company/data-privacy/,pedrokialanda@infutor.com,Illinois,"Yes - by Opt-Out Form"
"Instant Checkmate, Llc",https://www.instantcheckmate.com/privacy_policy,support@instantcheckmate.com,California,Unclear
"Instant People Finder",http://www.instantpeoplefinder.com/privacy.html,,Washington,"Yes - by Opt-Out Form"
Instantbackgroundreport.Com,http://instantbackgroundreport.com/index.php?xpath=privacy,privacy@cisnationwide.com,Massachusetts,Unclear
"Insurance Services Office, Inc.",https://www.verisk.com/privacy-trademarks-use/iso-online-privacy-notice/,jvolk@verisk.com,"New Jersey",Unclear
"Intel Registry",http://intelregistry.com/privacy.php,support@intelregistry.com,,"Yes - by Opt-Out Form"
Inteligator,http://www.inteligator.com/home/privacy.php,,,Unclear
Intelius,http://www.peopleconnect.us/privacy,privacy@peopleconnect.us,Washington,"Yes - by Opt-Out Form"
"Intellicorp Records, Inc.",http://www.intellicorp.net/marketing/PrivacyPolicy.aspx,jvolk@verisk.com,Ohio,Unclear
"Intellireal Llc",https://www.equifax.com/privacy/,vtinquiries@equifax.com,Georgia,No
"Interactive Data, Llc",https://ididata.com/idis-privacy-statement/,support@ididata.com,Florida,Unclear
"Iq Data Systems, Inc. Dba Backgrounds Online",https://www.backgroundsonline.com/privacy-policy,nate.waymire@backgroundsonline.com,California,"Yes - by email"
"Iso Claims Services, Inc.",https://www.verisk.com/privacy-trademarks-use/iso-online-privacy-notice/,jvolk@verisk.com,Texas,No
"Iso Services, Inc.",https://www.verisk.com/privacy-trademarks-use/iso-online-privacy-notice/,jvolk@verisk.com,"New Jersey",No
"Ixi Corporation",https://www.equifax.com/privacy/,vtinquiries@equifax.com,Georgia,No
"Jverify, Inc.",,admin@jverify.com,Texas,"Yes - by email"
"Kbm Group Llc",https://www.kbmg.com/about-us/privacy/,privacy@wundermandata.com,Colorado,"Yes - by email"
Kgbpeople,http://www.kgbpeople.com/privacy-policy,accounts@kgb.com,"New York",No
"Knowwho, Inc.",https://kw1.knowwho.com/service/privacy/,bbrownson@knowwho.com,Virginia,"Yes - by email"
"L2, Inc.",,bruce.willsie@L2Political.com,Washington,"Yes - by email"
"Lexisnexis Risk Solutions Inc. And Affiliates",https://risk.lexisnexis.com/privacy-policy,legal.compliance@risk.lexisnexis.com,Georgia,Unclear
Libertydata.Net,http://www.libertydata.net/privacypolicy.asp,support@libertydata.net,Florida,"Yes - by email"
"Locate People",https://members.infotracer.com/customer/terms?tab=privacy,support@infotracer.com,Massachusetts,"Yes - by Opt-Out Form"
Locatefamily.Com,http://www.locatefamily.com/privacy_policy.html,,"New York",Unclear
"Lundquist Consulting, Inc.",http://www.lciinc.com/company/privacyNotice.htm,jvolk@verisk.com,California,No
Mapsmoji,http://mapsmoji.com/privacy/,email@mapsmoji.com,California,No
"Marriage Records",http://www.marriagerecords.org/index.php?xpath=privacy,privacy@cisnationwide.com,,Unclear
"Martin Data Llc",,mrichard@usinfosearch.com,Ohio,Unclear
"Mch, Inc. (Dba: Mch Strategic Data)",https://mchdata.com/privacy-policy/,peterlong@mchdata.com,Missouri,"Yes - by email"
"Mocavo Inc.",http://www.mocavo.com/privacy,privacy@findmypast.co.uk,,Unclear
"Modernize, Inc.",https://modernize.com/privacy,accounting@modernize.com,Texas,Unclear
"National Background Check",http://www.nationalbackgroundcheck.com/privacy.htm,contactus@nationalbackgroundcheck.com,Ohio,No
"National Consumer Telecom & Utilities Exchange, Inc.",http://www.nctue.com/terms-of-use,admin@nctue.com,Texas,No
"National Student Clearinghouse",https://studentclearinghouse.org/about/our-privacy-commitment/,legal@studentclearinghouse.org,Virginia,Unclear
"Neustar, Inc.",https://www.home.neustar/privacy,privacy@team.neustar,Virginia,"Yes - by Opt-Out Form"
"New England List Services, Inc.",,dave@nelists.com,Vermont,"Yes - by email"
"Nexxa Group, Inc.",,h.paulus@nexxagroup.com,Florida,Unclear
"Onlinesearches (Publicrecords.Onlinesearches.Com)",https://publicrecords.onlinesearches.com/privacy-policy,privacy@peopleconnect.us,Washington,"Yes - by Opt-Out Form"
"Open Dealer Exchange, Llc Dba 700 Credit, Llc",https://www.700credit.com/privacy-policy/,JBALBOA@OPENDEALEREXCHANGE.COM,Michigan,Unclear
Openonline,http://www.openonline.com/Home/About-Us/Privacy-Statement.aspx,compliance@openonline.com,Ohio,Unclear
"Oracle America, Inc. (Oracle Data Cloud)",https://www.oracle.com/legal/privacy/,privacy_ww@oracle.com,California,"Yes - by Opt-Out Form"
"Owneriq, Inc.",https://www.owneriq.com/privacy-notice,tpowell@owneriq.com,Massachusetts,Unclear
"Parasol Media Inc.",https://v2.parasolleads.com/parasolleads-privacy-policy/,jschwartz@parasolleads.com,California,Unclear
"Partners Credit And Verification Solutions",http://www.partnerscredit.com/pcvs_privacy.html,pkarbo@creditinterlink.com,Illinois,Unclear
Path2Response,https://path2response.com/privacy/,invoices@path2response.com,Colorado,"Yes - by Opt-Out Form"
"Peek You",http://www.peekyou.com/privacy,info@peekyou.com,"New York","Yes - by Opt-Out Form"
"People By Name",http://www.peoplebyname.com/privacy.php,support@peoplebyname.com,Florida,"Yes - by Opt-Out Form"
"People Finder: Instant Online Records Retrieval",http://www.peoplefinderonline.net/privacy.html,support@infotracer.com,,"Yes - by Opt-Out Form"
"People Lookup (Data Source Intelius)",http://peoplelookup.com/privacy-faq.php,privacy@peoplelookup.com,Washington,"Yes - by Opt-Out Form"
Peopleaz.Org,http://peopleaz.org/privacy.awx,,,No
"Peopleconnect, Inc.",http://www.peopleconnect.us/privacy,privacy@peopleconnect.us,Washington,"Yes - by Opt-Out Form"
Peopleg2,http://www.peopleg2.com/resources/privacy-policy.html,,California,No
Peoplesmart,http://www.peoplesmart.com/?_act=privacy,privacy@peoplesmart.com,Nebraska,"Yes - by Opt-Out Form"
Persopo,http://info.persopo.com/privacy-policy.html,support@persopo.com,Nevada,"Yes - by Opt-Out Form"
"Phone Registry",http://www.phoneregistry.com/privacy.php,,Massachusetts,"Yes - by Opt-Out Form"
"Phonebooks.Com (Affiliated With Intelius)",http://www.phonebooks.com/privacy.html,help@phonebooks.com,,"Yes - by Opt-Out Form"
"Pipl, Inc",http://www.pipl.com/privacy/,mail@pipl.com,Idaho,Unclear
"Plural Marketing Solutions Inc.",,george@plmrkg.com,"New Jersey",Unclear
Plusaddress.Com,https://plusaddress.com/#privacy,info@plusaddresscom,,"Yes - by Opt-Out Form"
"Possiblenow Data Services",https://www.possiblenow.com/privacy-statement,bschorer@possiblenow.com,Georgia,"Yes - by email"
"Project Applecart Llc",,matt@applecart.co,"New York",No
"Public Arrest Records",http://www.publicarrestrecords.org/privacy-policy-terms-of-use/,,,"Yes - by email"
"Public Record Site",http://www.public-record-site.com/privacy-policy.htm,privacy@1and1.com,Pennsylvania,No
"Public Records Checks",http://publicrecordschecks.com/privacy.php,privacy@cisnationwide.com,Massachusetts,Unclear
"Publicrecords.Com (Affiliated With Intelius)",https://secure.publicrecords.com/privacy.php,privacy@publicrecords.com,Washington,"Yes - by Opt-Out Form"
Publicrecordssearchonline.Org,https://publicrecordssearchonline.org/privacy/,contact@publicrecordssearchonline.org,,No
"Quality Planning Corporation",https://www.verisk.com/privacy-trademarks-use/iso-online-privacy-notice/,jvolk@verisk.com,California,No
"Records Authority",http://recordsauthority.com/access/privacy.php,privacy@cisnationwide.com,Massachusetts,Unclear
"Rental Property Solutions, Llc",https://www.corelogic.com/privacy.aspx,dghazaleh@corelogic.com,Texas,No
"Reveal Mobile Inc",https://revealmobile.com/privacy/,andy@revealmobile.com,"North Carolina","Yes - by email"
"Reverse Genie",http://www.reversegenie.com/privacy.php,privacy@cisnationwide.com,Massachusetts,Unclear
"Reverse Mobile",http://www.reversemobile.com/index.php?xpath=privacy,privacy@cisnationwide.com,Massachusetts,Unclear
"Reverse Number Database",http://reversenumberdatabase.com/privacy,privacy@cisnationwide.com,Massachusetts,Unclear
"Reverse Phone Lookup",http://www.reversephonelookup.com/privacy.html,,,"Yes - by Opt-Out Form"
Reverserecords.Org,http://reverserecords.org/index.php?xpath=privacy&code=,support@infotracer.com,Massachusetts,"Yes - by email"
"Roots Web (Associated With Ancestry.Com)",https://www.ancestry.com/cs/privacyphilosophy,content@ancestry.com,California,Unclear
"Ruf Strategic Solutions",https://ruf.com/privacy-policy/,matthussey@infutor.com,Kansas,"Yes - by email"
"Sagestream, Llc",https://www.sagestreamllc.com/privacy-policy/,ken_meiser@symantec.com,California,Unclear
"Search Bug",http://www.searchbug.com/privacy.aspx,,California,No
"Skipmasher, Inc.",https://www.skipsmasher.com/privacy.aspx,info@skipsmasher.com,California,"Yes - by Opt-Out Form"
Snoopstation.Com/,http://www.snoopstation.com/privacy.php,privacy@peopleconnect.us,Washington,No
"Social Catfish, Llc",https://socialcatfish.com/faq/privacy/,Matt@Socialcatfish.com,California,"Yes - by Opt-Out Form"
"Sorted By Birthdate.Com",http://sortedbybirthdate.com/privacy.html,webmaster@oklavoters.com,"New Hampshire",No
"Sorted By Name",http://sortedbyname.com/privacy.html,webmaster@oklavoters.com,"New Hampshire",No
"Speedeon Data, Llc",https://www.speedeondata.com/privacy-policy,mbagley@speedeondata.com,Ohio,"Yes - by Opt-Out Form"
"Spokeo, Inc.",https://www.spokeo.com/privacy-policy,jmatthes@spokeo.com,California,"Yes - by Opt-Out Form"
"Spy Dialer, Inc.",https://www.spydialer.com/privacy.aspx,info@spydialer.com,California,"Yes - by Opt-Out Form"
"State Records (United States State Records)",http://www.staterecords.org/index.php?xpath=privacy,,Massachusetts,"Yes - by Opt-Out Form"
Sterling,https://www.sterlingcheck.com/about/privacy/,privacy@sterlingts.com,"New York",No
"Sterling Data Llc",,info@sterlingd.com,Virginia,"Yes - by email"
"Strategic Information Resources",https://strategicinfo.com/wp-content/uploads/SIR_Privacy_Statement-Jan2016.pdf,jdrziak@strategicinfo.com,Massachusetts,Unclear
Superpages,https://www.superpages.com/about/privacy.html,,Texas,Unclear
"Talx Corporation",https://www.theworknumber.com/privacy-policy/,vtinquiries@equifax.com,Missouri,Unclear
"Teletrack, Llc",https://www.corelogic.com/privacy.aspx,dghazaleh@corelogic.com,California,"Yes - by email"
"Tenant Detective",http://www.tenantdetective.com/privacypolicy.php,privacy@cisnationwide.com,,"Yes - by email"
Thatsthem,https://thatsthem.com/privacy-policy,info@ThatsThem.com,Washington,"Yes - by Opt-Out Form"
"The Lead Company, Inc.",https://lead.co/privacy/,dave@lead.co,Michigan,"Yes - by email"
"Thomas Reuters (Crc) Llc (D/B/A Refinitiv)",https://www.refinitiv.com/en/policies/privacy-statement,privacy.enquiries@refinitiv.com,Connecticut,No
"Tlo Online Investigative Systems",https://www.tlo.com/privacy,TLOxpSupport@transunion.com,Florida,No
"Towerdata, Inc.",https://www.towerdata.com/privacy-policy,tburke@towerdata.com,"New York",No
"Tracers Information Specialists, Inc.",https://www.tracersinfoonline.com/en/privacy/,,Florida,Unclear
Transunion,https://www.transunion.com/legal/privacy-policy,keith.mccawley@transunion.com,Illinois,"Yes - by Opt-Out Form"
"Truthfinder, Llc",https://www.truthfinder.com/privacy-policy/,help@truthfinder.com,California,"Yes - by email"
"Twine Data, Inc",https://www.truedata.co/privacy-policy/,bmorgan@twinedata.com,California,"Yes - by email"
Ucc411,http://www.ucc411.com/privacy-policy.aspx,info@andersonadvisors.com,Nevada,Unclear
Ultimatewhitepages,http://www.detectiveunlimited.com/privacy-policy.html,webmaster@ultimatewhitepages.org,Washington,No
"""Ultimatewhitepages """,http://www.detectiveunlimited.com/privacy-policy.html,webmaster@ultimatewhitepages.org,Washington,No
"Valassis Direct Mail, Inc",https://www.valassis.com/about-us/privacy-policy,datalicensing@valassis.com,Vermont,No
"Valley Yellow Pages (Myyp.Com)",http://www.myyp.com/privacy,vyp@myyp.com,California,No
"Viant Technology Llc",https://www.viantinc.com/privacy-policy/,bnojima@viantinc.com,California,Unclear
"Voter Factory",http://www.voterfactory.com/Privacy.html,help@VoterFactory.com,,No
"Webbula Llc",https://webbula.com/privacy-policy/,privacy@webbula.com,Pennsylvania,"Yes - by Opt-Out Form"
"West Publishing Corporation",https://www.thomsonreuters.com/en/privacy-statement.html#legitimate-interests,sonya.southward@thomsonreuters.com,Minnesota,"Yes - by Opt-Out Form"
Whitepages+,https://whitepages.plus/privacy,mail@whitepages.plus,California,No
"Whitepages, Inc.",https://www.whitepages.com/data-policy,support@whitepages.com,Washington,Unclear
"Whoodle, Llc",https://www.whoodle.com/privacy,support@whoodle.com,Florida,"Yes - by email"
"Wiland, Inc.",https://wiland.com/privacy-policy/,privacy@wiland.com,Colorado,No
Yasni,http://www.yasni.com/privacy,info@yasni.com,,"Yes - by email"
Ypstate.Com,http://www.ypstate.com/wiki/ypstate/contactus/,,,No
Zabasearch,http://www.peopleconnect.us/privacy,privacy@peopleconnect.us,Washington,"Yes - by Opt-Out Form"
Zoominfo.Com,http://www.zoominfo.com/business/about-zoominfo/privacy-policy,privacy@zoominfo.com,Massachusetts,"Yes - by email"
